castsource,casttarget,castcontext,castmethod
int8,int2,a,f
int8,int4,a,f
int8,float4,i,f
int8,float8,i,f
int8,numeric,i,f
int2,int8,i,f
int2,int4,i,f
int2,float4,i,f
int2,float8,i,f
int2,numeric,i,f
int4,int8,i,f
int4,int2,a,f
int4,float4,i,f
int4,float8,i,f
int4,numeric,i,f
float4,int8,a,f
float4,int2,a,f
float4,int4,a,f
float4,float8,i,f
float4,numeric,a,f
float8,int8,a,f
float8,int2,a,f
float8,int4,a,f
float8,float4,a,f
float8,numeric,a,f
numeric,int8,a,f
numeric,int2,a,f
numeric,int4,a,f
numeric,float4,i,f
numeric,float8,i,f
money,numeric,a,f
numeric,money,a,f
int4,money,a,f
int8,money,a,f
int4,bool,e,f
bool,int4,e,f
xid8,xid,e,f
int8,oid,i,f
int2,oid,i,f
int4,oid,i,b
oid,int8,a,f
oid,int4,a,b
oid,regproc,i,b
regproc,oid,i,b
int8,regproc,i,f
int2,regproc,i,f
int4,regproc,i,b
regproc,int8,a,f
regproc,int4,a,b
regproc,regprocedure,i,b
regprocedure,regproc,i,b
oid,regprocedure,i,b
regprocedure,oid,i,b
int8,regprocedure,i,f
int2,regprocedure,i,f
int4,regprocedure,i,b
regprocedure,int8,a,f
regprocedure,int4,a,b
oid,regoper,i,b
regoper,oid,i,b
int8,regoper,i,f
int2,regoper,i,f
int4,regoper,i,b
regoper,int8,a,f
regoper,int4,a,b
regoper,regoperator,i,b
regoperator,regoper,i,b
oid,regoperator,i,b
regoperator,oid,i,b
int8,regoperator,i,f
int2,regoperator,i,f
int4,regoperator,i,b
regoperator,int8,a,f
regoperator,int4,a,b
oid,regclass,i,b
regclass,oid,i,b
int8,regclass,i,f
int2,regclass,i,f
int4,regclass,i,b
regclass,int8,a,f
regclass,int4,a,b
oid,regcollation,i,b
regcollation,oid,i,b
int8,regcollation,i,f
int2,regcollation,i,f
int4,regcollation,i,b
regcollation,int8,a,f
regcollation,int4,a,b
oid,regtype,i,b
regtype,oid,i,b
int8,regtype,i,f
int2,regtype,i,f
int4,regtype,i,b
regtype,int8,a,f
regtype,int4,a,b
oid,regconfig,i,b
regconfig,oid,i,b
int8,regconfig,i,f
int2,regconfig,i,f
int4,regconfig,i,b
regconfig,int8,a,f
regconfig,int4,a,b
oid,regdictionary,i,b
regdictionary,oid,i,b
int8,regdictionary,i,f
int2,regdictionary,i,f
int4,regdictionary,i,b
regdictionary,int8,a,f
regdictionary,int4,a,b
text,regclass,i,f
varchar,regclass,i,f
oid,regrole,i,b
regrole,oid,i,b
int8,regrole,i,f
int2,regrole,i,f
int4,regrole,i,b
regrole,int8,a,f
regrole,int4,a,b
oid,regnamespace,i,b
regnamespace,oid,i,b
int8,regnamespace,i,f
int2,regnamespace,i,f
int4,regnamespace,i,b
regnamespace,int8,a,f
regnamespace,int4,a,b
text,bpchar,i,b
text,varchar,i,b
bpchar,text,i,f
bpchar,varchar,i,f
varchar,text,i,b
varchar,bpchar,i,b
char,text,i,f
char,bpchar,a,f
char,varchar,a,f
name,text,i,f
name,bpchar,a,f
name,varchar,a,f
text,char,a,f
bpchar,char,a,f
varchar,char,a,f
text,name,i,f
bpchar,name,i,f
varchar,name,i,f
char,int4,e,f
int4,char,e,f
pg_node_tree,text,i,b
pg_ndistinct,bytea,i,b
pg_ndistinct,text,i,i
pg_dependencies,bytea,i,b
pg_dependencies,text,i,i
pg_mcv_list,bytea,i,b
pg_mcv_list,text,i,i
date,timestamp,i,f
date,timestamptz,i,f
time,interval,i,f
time,timetz,i,f
timestamp,date,a,f
timestamp,time,a,f
timestamp,timestamptz,i,f
timestamptz,date,a,f
timestamptz,time,a,f
timestamptz,timestamp,a,f
timestamptz,timetz,a,f
interval,time,a,f
timetz,time,a,f
point,box,a,f
lseg,point,e,f
path,polygon,a,f
box,point,e,f
box,lseg,e,f
box,polygon,a,f
box,circle,e,f
polygon,point,e,f
polygon,path,a,f
polygon,box,e,f
polygon,circle,e,f
circle,point,e,f
circle,box,e,f
circle,polygon,e,f
macaddr,macaddr8,i,f
macaddr8,macaddr,i,f
cidr,inet,i,b
inet,cidr,a,f
bit,varbit,i,b
varbit,bit,i,b
int8,bit,e,f
int4,bit,e,f
bit,int8,e,f
bit,int4,e,f
cidr,text,a,f
inet,text,a,f
bool,text,a,f
xml,text,a,b
text,xml,e,f
cidr,varchar,a,f
inet,varchar,a,f
bool,varchar,a,f
xml,varchar,a,b
varchar,xml,e,f
cidr,bpchar,a,f
inet,bpchar,a,f
bool,bpchar,a,f
xml,bpchar,a,b
bpchar,xml,e,f
bpchar,bpchar,i,f
varchar,varchar,i,f
time,time,i,f
timestamp,timestamp,i,f
timestamptz,timestamptz,i,f
interval,interval,i,f
timetz,timetz,i,f
bit,bit,i,f
varbit,varbit,i,f
numeric,numeric,i,f
json,jsonb,a,i
jsonb,json,a,i
jsonb,bool,e,f
jsonb,numeric,e,f
jsonb,int2,e,f
jsonb,int4,e,f
jsonb,int8,e,f
jsonb,float4,e,f
jsonb,float8,e,f
int4range,int4multirange,e,f
int8range,int8multirange,e,f
numrange,nummultirange,e,f
daterange,datemultirange,e,f
tsrange,tsmultirange,e,f
tstzrange,tstzmultirange,e,f
int4,varchar,i,i
varchar,int4,i,i
int8,varchar,i,i
varchar,int8,i,i
